title,job description,questions
Collection Specialist,"<h4>Job brief</h4><p>We are looking for a competent Collection Specialist to contact clients and collect outstanding payments. You will struck a balance between maintaining trustful relationships, and ensuring timely payments.</p>
<p>Our Collection Specialist should exhibit professionalism and trustworthiness. You should have excellent communication and negotiation skills, as well as an ability to work independently.</p>
<h4>Responsibilities</h4><ul>
<li>Monitor accounts to identify outstanding debts</li>
<li>Investigate historical data for each debt or bill</li>
<li>Find and contact clients to ask about their overdue payments</li>
<li>Take actions to encourage timely debt payments</li>
<li>Process payments and refunds</li>
<li>Resolve billing and customer credit issues</li>
<li>Update account status records and collection efforts</li>
<li>Report on collection activity and accounts receivable status</li>
</ul>
<h4>Requirements</h4><ul>
<li><collection-specialist-interview-questions"">Proven experience as a Collection Specialist or similar role</li>
<li>Knowledge of billing procedures and collection techniques (e.g. skip tracing)</li>
<li>Familiarity with laws related to debt collection (e.g. FDCPA)</li>
<li>Working knowledge of MS Office and databases</li>
<li>Comfortable working with targets</li>
<li>Patience and ability to manage stress</li>
<li>Excellent communication skills (written and oral)</li>
<li>Skilled in negotiation</li>
<li>Problem-solving skills</li>
<li>High school diploma; Associate’s/Bachelor’s degree is a plus</li>
</ul>
","['A debtor has missed six months of payments. When you call the individual, they bring up financial difficulties and get emotional. How do you handle this?', 'What payback plan would you recommend for a long-term client whose payments are due to be collected in X months?', 'If you called a client to update them on their payment status and they were aggressive or rude to you, how would you handle it?', 'Can you think of a few common excuses that debtors make? How would you respond to each of them?', 'What collection methods do you know? Which technique do you think would be more effective for our company/clients?', 'How do you keep historical data for each account?', 'How often do you follow up with delinquent account holders and what’s your approach when you get in touch?', 'Mention three things a Collection Specialist should avoid saying when speaking to a debtor.', 'How do you keep track of all payments?', 'What software do you use to increase your productivity?', 'What do you find interesting about this job?', 'Describe a time you had to deal with a difficult client. How did you handle the situation?', 'Describe a time you persuaded a client to pay off a large debt. How did you handle it, from beginning to end?', 'Have you ever faced an ethical dilemma at work? If so, what was the situation and what did you do?', 'Have your negotiations with a creditor ever failed? If so, what would you do different?', 'How does empathy help you build trusting, long-term relationships? Give an example of a time when you were able to better understand and address a client’s needs.']"
Billing Analyst,"<h4>Job brief</h4><p>We are looking for a Billing Analyst to undertake billing operations in our accounting department. We’ll count on you to issue invoices with a high degree of accuracy to guarantee our revenue.</p>
<p>Our Billing Analyst should have a keen eye for detail. You should also be comfortable working with little supervision to meet tight deadlines.</p>
<p>Your goal will be to <accounts-receivable-clerk-job-description"">monitor accounts receivable and ensure we bill our customers correctly.</p>
<h4>Responsibilities</h4><ul>
<li>Issue and distribute invoices</li>
<li>Process new contracts and sales</li>
<li>Collaborate with other departments to ensure billing accuracy</li>
<li>Address customer complaints and questions</li>
<li>Keep track of accounts receivable and transactions</li>
<li>Assist with customer account reconciliations</li>
<li>Prepare and present analytical reports</li>
<li>Support monthly and quarterly audits and clean ups</li>
<li>Resolve any issues or mistakes</li>
</ul>
<h4>Requirements</h4><ul>
<li><billing-analyst-interview-questions"">Proven experience as a Billing Analyst or similar accounting role</li>
<li>Good knowledge of electronic billing procedures</li>
<li>Proficient in MS Office (especially Excel); familiarity with databases and SQL is an asset</li>
<li>Excellent communication ability</li>
<li>Organizational and time-management skills</li>
<li>Attention to detail</li>
<li>Teamwork skills</li>
<li>Ability to work independently and meet tight deadlines</li>
<li>BSc/BA in accounting or similar field is preferred</li>
</ul>
","['How would you create a report on debts from the previous quarter?', 'How would you contact clients who haven’t paid their bills?', 'If a long-term client had a debt at the end of the fiscal year, how would you address it with him/her?', 'How would you make sure we collect invoices in a timely manner?', 'How would you handle an invoice discrepancy with a client?', 'Briefly explain the financial transactions involved in the billing process and your experience with each.', 'What accounting software have you used?', 'How do you keep updated records of accounts receivable from clients?', 'How do you ensure financial information remains confidential?', 'What are your responsibilities during annual audits?', 'Have you ever made a mistake at work (e.g. a wrong calculation)? How did you figure it out and what happened?', 'How do you manage to meet tight deadlines?', 'How do you stay up-to-date with new financial regulations? Do you read any specific blogs, magazines or newspapers? If so, what are they?', 'What keeps you motivated during repetitive tasks?']"
Tax Accountant,"<h4>Job brief</h4><p>We are looking for a Tax Accountant to prepare tax payments and returns for our company.</p>
<p>To succeed in this role, you should show interest in following changes to tax regulations and laws. Excellent time management skills are also essential, as you’ll have to ensure our company meets tight deadlines. Tax Accountant responsibilities also include organizing and maintaining records of tax payments.</p>
<p>Ultimately, you should be able to recommend tax strategies that comply with laws and promote our company’s financial well-being.</p>
<h4>Responsibilities</h4><ul>
<li>Prepare tax payments</li>
<li>Estimate and track tax returns</li>
<li>Complete quarterly and annual tax reports</li>
<li>Organize and update the company’s tax database</li>
<li>Recommend tax strategies that align with business goals</li>
<li>Prepare necessary paperwork for tax payments and returns</li>
<li>Share financial data with the accounting department</li>
<li>Identify tax savings and suggest ways to increase profits</li>
<li>Follow industry trends and track changes related to taxes</li>
<li>Liaise with internal and external <internal-auditor-job-description"" >auditors</li>
<li>Forecast tax predictions to senior managers</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven work experience as a Tax Accountant, Tax Analyst or Tax Preparer</li>
<li>Knowledge of accounting and bookkeeping procedures</li>
<li>Familiarity with accounting software packages</li>
<li>Computer literacy (MS Excel in particular)</li>
<li>Excellent analytical and time management skills</li>
<li>Strong numeracy skills</li>
<li>Keen attention to detail</li>
<li>BSc degree in Accounting, Finance or relevant subject; industry certification (e.g. CMA or CPA) is preferred</li>
</ul>
","['What would you do if you received a B-Notice on behalf of your client?', 'What information would you use to create a forecasting report for next year’s tax returns?', 'You thought the deadline for tax payment submission was in a month, but it’s actually in a week. How would you handle this?', 'How would you inform your manager that your company needs to pay a fine because you weren’t aware of a regulatory change?', 'What accounting software are you familiar with?', 'What monthly and annual reports do you create?', 'What information do you need to submit a 1096? What’s different when you e-file a 1099?', 'What is an IRS Backup Withholding Notice?', 'How do you avoid numerical errors in your reports?', 'What attracted you to tax accounting versus other fields, like forensic or auditing?', 'How do you stay on top of regulatory changes?', 'How do you keep up to date on global economic issues?', 'Describe a time you saved your client/employer money.', 'Have you ever faced an ethical dilemma at work? If so, how did you manage it?']"
Accounts Receivable Manager,"<h4>Job brief</h4><p>We are looking for an Accounts Receivable Manager to oversee the entire process of collecting payments from our company’s customers.</p>
<p>The main responsibilities for this role include managing invoices, handling missed payments and supervising <accounts-receivable-clerk-job-description"" rel=""noopener"" target=""_blank"">Accounts Receivable Clerks. Our ideal candidate is familiar with all accounting procedures and can manage daily financial transactions end-to-end. If you have previous experience managing a financial team, we’d like to meet you.</p>
<p>Ultimately, you should be able to ensure accuracy and efficiency throughout our entire accounts receivable process.</p>
<h4>Responsibilities</h4><ul>
<li>Set objectives for the accounts receivable team that align with the accounting department’s goals</li>
<li>Monitor processing of invoices</li>
<li>Ensure timely collection of payments</li>
<li>Conduct credit checks</li>
<li>Negotiate with clients in non-payment cases</li>
<li>Prepare monthly, quarterly, annual and ad-hoc forecasting reports</li>
<li>Organize records of invoices, bills and deposits</li>
<li>Ensure high-quality invoicing and collection procedures that comply with the law</li>
<li>Support Accounts Receivable Clerks on a daily basis and train new team members</li>
<li>Ensure all team members follow the accounting principles</li>
<li>Stay updated on industry and legislative changes</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven work experience as an Accounts Receivable Manager or Supervisor</li>
<li>Hands-on experience with accounting software</li>
<li>Familiarity with advanced formulas in MS Excel</li>
<li>Excellent analytical skills along with the ability to create and present detailed reports</li>
<li>Ability to accurately process numerical data</li>
<li>Team management and negotiation skills</li>
<li>Problem-solving attitude</li>
<li>Confidentiality</li>
<li>BSc degree in Accounting or Finance</li>
<li>CPA certification is a plus</li>
</ul>
","['What would be the first thing you’d check if you found a billing discrepancy?', 'How would you negotiate with a client who has a debt?', 'What are the steps you would take to close the accounts receivable period?', 'What time management tips would you give to a newly-hired Accounts Receivable Clerk?', 'What information would you use to forecast next month’s payments?', 'What objectives would you set for your team? (monthly, quarterly and annual goals)', 'What accounting software have you used? How do they facilitate your daily tasks?', 'Briefly describe the steps of the journal entry process.', 'How often do you conduct bank reconciliation? Why?', 'What accounting reports do you create on a regular basis?', 'What data do you include in an invoice for services rendered?', 'How do you prefer to share the results from your team: with a detailed report or a verbal presentation? Why?', 'How do you handle inconsistent payments from clients?', 'How do you evaluate employee performance? Tell us about a time you had to deliver a negative review to one of your team members.', 'Have you ever made a mistake at work that cost you (or your company) money? If so, what was the situation and what did you learn from that experience?', 'How do you check your work for accuracy and how do you ensure you meet all deadlines?', 'How do you stay up-to-date with changes in finance legislation?']"
Cost Accountant,"<h4>Job brief</h4><p>We are looking for a Cost Accountant to join our accounting department. You’ll be responsible for performing cost analyses and preparing budget reports.</p>
<p>You should possess excellent analytical skills along with the ability to combine different data and calculate profit margins. Our ideal candidate should also be able to create detailed reports that present cost-effective solutions for our company.</p>
<p>Ultimately, you should build updated databases and manage cost information to maximize profitability for our company.</p>
<h4>Responsibilities</h4><ul>
<li>Collect cost information and maintain an expenses database</li>
<li>Construct data accumulation systems</li>
<li>Determine fixed costs (e.g. salaries, rent and insurance)</li>
<li>Plan and record variable costs (e.g. purchases of raw material and operations costs)</li>
<li>Review standard and actual costs for inaccuracies</li>
<li>Prepare budgeting reports (for the company and for each department)</li>
<li>Analyze and report profit margins</li>
<li>Prepare (monthly, quarterly and annual) cost forecasts</li>
<li>Assisting in month-end and year-end closing</li>
<li>Identify and recommend cost-effective solutions</li>
</ul>
<h4>Requirements</h4><ul>
<li><cost-accountant-interview-questions"">Proven work experience as a Cost Accountant, Cost Analyst, Accountant or similar role</li>
<li>Thorough knowledge of accounting procedures</li>
<li>In-depth understanding of Generally Accepted Accounting Principles (GAAP)</li>
<li>Experience with accounting software, like FreshBooks and Zoho</li>
<li>Computer literacy, MS Excel in particular (familiarity with VLOOKUPs and pivot tables)</li>
<li>Excellent analytical skills with an attention to detail</li>
<li>Strong time management skills</li>
<li>Integrity, with an ability to handle confidential information</li>
<li>BSc degree in Accounting, Finance or relevant study</li>
</ul>
","['If you could use only Excel, how would you organize the company’s fixed costs to ensure they’re accurate and accessible?', 'If the CEO asked you to help decide if opening a new branch would be profitable, how would you go about analyzing the situation?', 'What information would you need to forecast quarterly and annual costs?', 'A manager has trouble understanding charts and asks you to explain a report in simple terms. How would you explain a budgeting report to the manager?', 'We are in front of a business opportunity that involves taking big risks but has large profit margins. What data would you collect and analyze to help us make a decision?', 'In which cases do you use discounted cash flow (DCF)?', 'How familiar are you with SFAS (Statement of Financial Accounting Standards)?', 'How do you check data accuracy in large spreadsheets?', 'What accounting software have you previously used?', 'What invoice processing systems do you know?', 'Have you ever suggested a way to improve a regular accounting process? What was it?', 'How do you stay up-to-date with changes to financial regulations?', 'Have you ever made a mistake in calculations that resulted in false forecasts? How did you find out about the mistake and what did you do to correct it?', 'How do you manage workflow under tight deadlines?', 'Have you ever discovered a cost-effective solution? If yes, what was it, and how did you present your idea to senior managers?']"
Certified Public Accountant (CPA),"<h4>Job brief</h4><p>We are looking for an experienced Certified Public Accountant (CPA) to join our accounting department. You’ll be responsible for preparing, reviewing and analyzing financial reports for our company.</p>
<p>Our ideal candidate has in-depth knowledge of bookkeeping, auditing and budgeting procedures. You should also be able to monitor daily transactions and recommend ways we can improve our financial health. Previous work experience, along with a degree in Accounting and a CPA qualification is required for this role.</p>
<p>Ultimately, you will play a vital role in our company’s financial operations, ensuring compliance with the law and accuracy in accounting</p>
<h4>Responsibilities</h4><ul>
<li>Organize and update financial records as needed (digital and physical)</li>
<li>Analyze transactions and prepare reports</li>
<li>Perform regular, detailed audits to ensure accuracy in financial documents, expenditures and investments</li>
<li>Forecast revenue and analyze profit margins</li>
<li>Oversee ledger reconciliation and manage accounts payable/receivable</li>
<li>Participate in budgeting processes</li>
<li>Brief senior managers regularly on the company’s financial status</li>
<li>Liaise with Tax Accountants to track tax payments and returns</li>
<li>Monitor bookkeeping activities regularly</li>
<li>Keep company financial information confidential</li>
<li>Establish accounting policies and procedures</li>
<li>Stay informed on industry developments and changes in regulations</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven work experience as a <certified-public-accountant-cpa-interview-questions"">Certified Public Accountant or <senior-accountant-job-description"" >Senior Accountant</li>
<li>Thorough knowledge of accounting and financial procedures</li>
<li>Understanding of Generally Accepted Accounting Principles (GAAP)</li>
<li>Experience with accounting software, like FreshBooks and Zoho</li>
<li>Advanced MS Excel knowledge (familiarity with formulas, VLOOKUPs and pivot tables)</li>
<li>Excellent analytical skills with an attention to detail</li>
<li>Integrity, with an ability to handle confidential information</li>
<li>BSc degree in Accounting or Finance and a CPA certification</li>
</ul>
","['If you missed the deadline for paying our company’s taxes, what would you do? How would you inform your manager if we had to pay a fine, in this case?', 'How would you help a manager decide if an investment was a good idea?', 'How would you set up an internal control system for processing invoices?', 'If you had to explain a financial procedure to non-financial audience, how would you ensure they understand all the details? For example, tell us in plain terms about the process of preparing a department’s budget.', 'What accounting software have you used? What features increase your productivity?', 'How do you check large datasheets for accuracy?', 'Describe your familiarity with accounting standards such as FASB and GAAP.', 'What information and tools do you need to create an annual tax return forecast?', 'Where and how do you use discounted cash flow (DCF)?', 'What is your role in the month-end closing process?', 'Describe a time when you helped your company or a client decrease costs.', 'How do you keep up with tax law changes?', 'Recall a time you analyzed financial risks and prevented senior executives from making a bad investment.', 'How do you stay motivated while doing repetitive tasks, like processing invoices?', 'Describe a time when your attention to detail saved you from making a mistake at work (e.g. in a report.)']"
Accounting Supervisor,"<h4>Job brief</h4><p>We are looking for an Accounting Supervisor to oversee our accounting department’s daily operations.</p>
<p>You will work closely with a team of <accountant-job-description"" >accountants to manage financial functions, including accounts payable/receivable, bank reconciliations and tax audits. Our ideal candidate uses strong analytical skills to create detailed financial reports and forecasts. To succeed in this role, you should also have a problem-solving attitude and be able to manage a team.</p>
<p>Ultimately, you should be able to ensure our financial management is accurate and effective.</p>
<h4>Responsibilities</h4><ul>
<li>Oversee daily transactions, including accounts payable/receivable, general ledger and bank reconciliations</li>
<li>Participate in regular tax audits and payroll</li>
<li>Prepare budgeting reports and forecast revenues</li>
<li>Manage month-end and year-end closing</li>
<li>Monitor the daily performance of the accounting department</li>
<li>Organize financial data into useable information and maintain updated records</li>
<li>Track the progress of financial and accounting objectives</li>
<li>Establish accounting policies and procedures, aligned with company’s targets</li>
<li>Ensure compliance with the law</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven work experience as an Accounting Supervisor</li>
<li>Experience with accounting software (e.g. FreshBooks and Zoho)</li>
<li>Strong computer skills, MS Excel in particular (managing spreadsheets, creating charts and using advanced formulas)</li>
<li>Solid knowledge of bookkeeping and accounting principles, laws and regulations</li>
<li>Excellent analytical skills to manage large amounts of data</li>
<li>Attention to detail and accuracy</li>
<li>Team management skills</li>
<li>Ability to prioritize work</li>
<li>BS degree in Accounting or Finance</li>
<li>Accounting certification (e.g. CMA or CPA) is a plus</li>
</ul>
","['What measures would you take if you discovered an invoice discrepancy?', 'What goals would you set for your team during your first year? How would you keep track of progress?', 'What would you do if you found a mistake in a report you prepared but your manager hadn’t noticed?', 'What transactions should Junior Accountants know and how would you train them on more advanced financial topics?', 'What accounting software do you use?', 'How do you check a report for numerical errors?', 'What’s your role during regular tax audits?', 'What financial data and metrics do you use to prepare a department’s annual budget?', 'What reports and invoices do you gather and manage during the year-end closing?', 'How do you stay up-to-date with changes in accounting legislation?', 'Tell us about a time your attention to detail saved you from making a mistake (e.g. in a forecasting report.)', 'Describe the most challenging financial project you’ve managed so far. How did you overcome difficulties?', 'Describe a time when you motivated your team to achieve goals. What team management techniques did you use?']"
Senior Auditor,"<h4>Job brief</h4><p>We are looking for a Senior Auditor to direct our auditing process. We’ll rely on you to ensure that our financial operations and controls meet standards and are error-free.</p>
<p>Our Senior Auditor must be meticulous and analytical, with deep knowledge of auditing practices. We expect you to be reliable, with strong organizational skills, as well as expertise in risk management and compliance.</p>
<h4>Responsibilities</h4><ul>
<li>Plan and oversee the auditing process</li>
<li>Allocate responsibilities to junior and staff auditors</li>
<li>Review team members’ work for accuracy and compliance</li>
<li>Perform effective risk and control assessments</li>
<li>Complete audits on time and submit reports to auditing manager</li>
<li>Present audit findings and find ways to increase compliance and efficiency</li>
<li>Coordinate periodical audits</li>
</ul>
<h4>Requirements</h4><ul>
<li>Proven experience as an auditor</li>
<li>In-depth understanding of auditing and control practices</li>
<li>Updated knowledge of applicable laws and regulations</li>
<li>Proficient in MS Office (especially Excel) and accounting software</li>
<li>Strong mathematical and analytical skills</li>
<li>Attention to detail</li>
<li>Organizational and leadership abilities</li>
<li>Integrity and reliability</li>
<li>BSc/BA in Accounting or Finance; master’s degree and professional certification (e.g. <certified-public-accountant-cpa-job-description"">CPA, CMA) are pluses</li>
</ul>
","['What would you do if a client/manager asked you to cover up fraud?', 'If a high-performer on your team started delivering reports with errors, how would you handle it?', 'If hired, how would you convince your team members to adjust to your way of working?', 'If you discovered that a process in our company is not as cost-effective as it could be, how would you present your findings to senior executives?', 'Have you used any audit software or Computer Assisted Audit Techniques (CAATs?) If so, which ones and how have they helped you?', 'How do you check other people’s work for accuracy (e.g. reports or flowcharts?)', 'How do periodical internal audits add value to a company?', 'What control management processes do you apply to minimize risks?', 'What’s your experience with accounting software like Zoho or QuickBooks?', 'Walk me through your fraud detection process.', 'Have you ever suggested an improvement in the audit process? If so, what was it and why was or wasn’t it finally implemented?', 'Describe a time when your attention to detail helped you detect a potential law violation.', 'How do you keep up with changes in accounting regulations?', 'Have you ever made a mistake at work? If so, what was it and what did you do to resolve the problem? If not, how do you check your work for accuracy?']"
Billing Specialist,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for a competent Billing specialist to undertake a variety of financial and non-financial tasks in order to help guarantee the company’s revenues. You will handle the processing of incoming payments along with the issuing of necessary paperwork.</span></p>
<h4>Responsibilities</h4><ul>
<li><span style=""font-weight: 400;"">Assume the responsibility of receiving and sorting incoming payments with attention to credibility</span></li>
<li><span style=""font-weight: 400;"">Manage the status of accounts and balances and identify inconsistencies </span></li>
<li><span style=""font-weight: 400;"">Issue and post bills, receipts and invoices</span></li>
<li><span style=""font-weight: 400;"">Check the validity of debit accounts</span></li>
<li><span style=""font-weight: 400;"">Update accounts receivable database with new accounts or missed payments</span></li>
<li><span style=""font-weight: 400;"">Ensure all clients remain informed on their outstanding debts and deadlines</span></li>
<li><span style=""font-weight: 400;"">Provide solutions to any relative problems of clients </span></li>
<li><span style=""font-weight: 400;"">Write thorough reports on billing activity with clear and reliable data</span></li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as Billing Specialist</span></li>
<li><span style=""font-weight: 400;"">Adherence to laws and best practices in regards to dealing with customers and data</span></li>
<li><span style=""font-weight: 400;"">Comfortable dealing with numbers and the processing of financial information</span></li>
<li><span style=""font-weight: 400;"">Excellent knowledge of MS Office (particularly Excel) and ER software (JDE or other)</span></li>
<li><span style=""font-weight: 400;"">Proficiency in English</span></li>
<li><span style=""font-weight: 400;"">Results-driven and patient</span></li>
<li><span style=""font-weight: 400;"">High degree of attention to detail and trustworthiness</span></li>
<li><span style=""font-weight: 400;"">BSc degree in Finance, Accounting or BA</span></li>
</ul>
","['Describe your typical day at your current/previous job. How do you prioritize your work?','How would you rate your proficiency with Microsoft Office programs, especially Excel?','Describe your familiarity with billing and invoice software.','How many invoices do you handle on a daily basis?','Describe a time you had an invoice discrepancy with a client. How did you resolve it?','Explain the financial transactions involved in the billing process and your experience with each (i.e. classifying, computing, posting, verifying, recording)','How do you keep track of incoming payments and ensure that it is in compliance with financial procedures? How  do you ensure that they’re properly posted and accounted for?','How do you ensure the timely collection of invoices?','Describe your most hostile payment collection call. How did you handle it?','Describe a time you went the extra mile to deliver excellent customer service.','Describe a time you worked with a team to complete a project on a tight deadline.','As a billing specialist, have you ever faced an ethical dilemma at work? How did you respond?','What skills do you deem necessary for a billing specialist with our firm. Do you think you possess these skills?','This job can be repetitive. What motivates you to do well?']"
Billing Clerk,"<h4>Job brief</h4><p><span style=""font-weight: 400;"">We are looking for a reliable </span><b>Billing Clerk</b><span style=""font-weight: 400;""> to perform tasks that will help us monitor our revenues. You will be responsible for keeping track of money owed to us by customers, preparing invoices and updating records.</span></p>
<p><span style=""font-weight: 400;"">As a billing clerk, you must be accurate and reliable in handling accounts and documents. Being good at math and a high degree of organizational ability are essential due to the great amount of financial information. Since you will be using technology to expedite your work, a degree of computer knowledge is required.</span></p>
<p><span style=""font-weight: 400;"">The goal is to contribute to the accurate preparation of bills receivable and safeguard the company’s income.</span></p>
<h4>Responsibilities</h4><ul>
<li><span style=""font-weight: 400;"">Manage account balances to discover outstanding debts or other inconsistencies </span></li>
<li><span style=""font-weight: 400;"">Collect all information needed to calculate bills receivable (order amounts, discount rates etc.)</span></li>
<li><span style=""font-weight: 400;"">Check the data input in the accounting system to ensure accuracy of final bill</span></li>
<li><span style=""font-weight: 400;"">Issue invoices and bills and sent them to customers through various channels (<mail-clerk-job-description"">mail, e-mail etc.)</span></li>
<li><span style=""font-weight: 400;"">Issue customer account statements periodically or whenever necessary </span></li>
<li><span style=""font-weight: 400;"">Receive payments through various methods (cash, online payments etc.) and check for credibility</span></li>
<li>Send reminders for payments and contact customers when assigned</li>
<li><span style=""font-weight: 400;"">Update accounting records with new payments, balances, customer information etc.</span></li>
<li><span style=""font-weight: 400;"">Answer questions and handle complaints from customers regarding bills</span></li>
<li><span style=""font-weight: 400;"">Report on activity to upper management</span></li>
</ul>
<h4>Requirements</h4><ul>
<li><span style=""font-weight: 400;"">Proven experience as </span><billing-clerk-interview-questions""><b>billing clerk</b><span style=""font-weight: 400;""> or <accounting-clerk-job-description"">general accounting experience</span></li>
<li>Adherence to laws and confidentiality guidelines</li>
<li><span style=""font-weight: 400;"">Proficient in MS Office (especially Excel); Working knowledge of relevant software (e.g. Quickbooks) will be appreciated</span></li>
<li><span style=""font-weight: 400;"">Excellent math ability</span></li>
<li><span style=""font-weight: 400;"">Good organizational skills</span></li>
<li><span style=""font-weight: 400;"">Excellent communication skills</span></li>
<li><span style=""font-weight: 400;"">High school diploma; further education will be a plus</span></li>
</ul>
","['What data would you present to inform your manager about significant debts from clients?', 'What would you say to customers who haven’t paid their bills, if we were close to the end of the fiscal year?', 'What would you check first if you found a billing discrepancy?', 'How would you make sure we collected invoices in a timely manner?', 'What would you do if you realized you made a numerical mistake on an invoice right after you issued it?', 'What are a Billing Clerk’s tasks when a customer makes a digital order?', 'How do you keep track of payments?', 'How often do you update the accounts receivable report?', 'What is your experience with accounting software? (e.g. QuickBooks)', 'What’s the most effective way to keep records of invoices?', 'What bookkeeping tasks are you familiar with?', 'How do you make sure financial documents remain confidential?', 'Have you ever had an invoice discrepancy with a client? How did you resolve it?', 'Tell us about a time you had a tight deadline for a project. How did you manage to complete it in time?', 'This job can be repetitive. What motivates you to perform routine tasks?', 'How do you stay up-to-date with new financial regulations?']"
